alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
9.0;9.0;9.0;29.8;70.2;17.4;30.61;10.0;32.6045652913
9.0;9.0;99.0;32.4;67.6;22.0;29.99;9.106;30.3582692353
9.0;99.0;0.05;77.4;22.6;26.0;30.25;3.198;10.5471702782
9.0;99.0;0.3;57.6;42.4;37.0;29.43;5.57;18.9354946103
9.0;99.0;0.6;24.8;75.2;25.2;30.61;10.362;33.8905370586
9.0;99.0;0.9;3.0;97.0;20.0;30.0;16.236;54.1241162011
9.0;99.0;1.0;0.4;99.6;14.0;29.68;15.948;53.7584839166
9.0;99.0;9.0;32.6;67.4;23.2;29.53;9.442;31.9540549045
9.0;99.0;99.0;35.4;64.6;22.6;30.24;9.306;30.7023198003
99.0;0.05;0.05;79.8;20.2;33.0;29.99;3.0;9.98744760012
99.0;0.05;0.3;52.8;47.2;25.6;30.27;6.568;21.6892122247
99.0;0.05;0.6;18.4;81.6;24.4;30.32;11.442;37.7521008343
99.0;0.05;0.9;2.2;97.8;13.6;29.96;16.31;54.4326869317
99.0;0.05;1.0;0.2;99.8;11.8;29.77;18.058;60.6508075865
99.0;0.05;9.0;28.2;71.8;21.6;29.89;9.672;32.3418906562
99.0;0.05;99.0;28.4;71.6;13.4;29.56;10.066;34.0702650179
99.0;0.3;0.05;75.0;25.0;27.0;29.62;3.468;11.6753023736
99.0;0.3;0.3;52.2;47.8;24.0;29.57;6.216;21.0181925095
99.0;0.3;0.6;23.8;76.2;21.0;29.53;10.826;36.6516427318
99.0;0.3;0.9;2.8;97.2;12.8;29.79;16.256;54.5505795365
99.0;0.3;1.0;1.0;99.0;14.4;29.62;17.526;59.0973846134
99.0;0.3;9.0;31.0;69.0;18.4;30.22;9.482;31.3875540058
99.0;0.3;99.0;29.8;70.2;21.4;29.5;9.92;33.6320268194
99.0;0.6;0.05;78.8;21.2;22.6;29.42;3.174;10.7931683635
99.0;0.6;0.3;57.4;42.6;30.2;29.34;6.196;21.148146608
99.0;0.6;0.6;29.4;70.6;20.6;29.75;9.858;33.1263640652
99.0;0.6;0.9;5.6;94.4;15.4;29.49;14.76;50.0506070467
99.0;0.6;1.0;1.0;99.0;12.4;29.83;17.352;58.1526987893
99.0;0.6;9.0;39.8;60.2;33.0;29.97;8.644;28.8111768407
99.0;0.6;99.0;40.8;59.2;18.2;29.88;8.356;27.9509578189
