alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
1.0;0.3;0.3;56.4;43.6;29.2;30.25;6.006;19.8178291846
1.0;0.3;0.6;25.2;74.8;20.8;29.64;10.814;36.4423103684
1.0;0.3;0.9;4.6;95.4;23.8;30.05;16.094;53.4786213158
1.0;0.3;1.0;0.4;99.6;14.0;30.22;18.35;60.7001567983
1.0;0.3;9.0;34.6;65.4;21.4;29.68;9.292;31.3164172359
1.0;0.3;99.0;36.2;63.8;15.4;29.82;8.95;29.9607589877
1.0;0.3;999.0;35.4;64.6;25.6;29.42;8.738;29.7405169159
1.0;0.6;0.05;77.2;22.8;23.0;29.67;3.588;12.1043675289
1.0;0.6;0.3;58.4;41.6;16.6;29.77;5.58;18.7167137288
1.0;0.6;0.6;28.0;72.0;15.0;29.56;10.19;34.5243915659
1.0;0.6;0.9;9.6;90.4;13.2;28.96;14.198;48.9954890577
1.0;0.6;1.0;2.0;98.0;12.6;30.3;17.252;56.9401349675
1.0;0.6;9.0;44.0;56.0;24.2;29.31;8.404;28.6373072229
1.0;0.6;99.0;40.8;59.2;25.0;29.37;8.004;27.1830512083
1.0;0.6;999.0;43.8;56.2;18.4;29.85;8.1;27.1319319842
1.0;0.9;0.05;78.2;21.8;36.0;29.8;2.714;9.09664693524
1.0;0.9;0.3;63.6;36.4;17.6;29.76;4.736;15.8382466156
1.0;0.9;0.6;45.0;55.0;27.2;29.97;8.25;27.5157485711
1.0;0.9;0.9;19.6;80.4;20.2;29.93;12.368;41.2936356569
1.0;0.9;1.0;1.8;98.2;20.0;29.97;17.98;59.9827395398
1.0;0.9;9.0;54.0;46.0;22.4;29.77;6.45;21.6870760228
1.0;0.9;99.0;52.2;47.8;22.8;29.78;6.85;22.9927725819
1.0;0.9;999.0;49.0;51.0;20.2;29.67;7.01;23.6331528107
1.0;1.0;0.05;80.6;19.4;33.2;30.06;2.864;9.48522797291
1.0;1.0;0.3;72.8;27.2;32.0;30.02;4.064;13.5380980103
1.0;1.0;0.6;66.8;33.2;19.4;29.5;4.814;16.3260140398
1.0;1.0;0.9;68.2;31.8;22.6;29.76;4.87;16.472557807
1.0;1.0;1.0;4.0;96.0;17.0;29.2;16.286;55.8319560857
1.0;1.0;9.0;72.2;27.8;23.0;30.38;4.132;13.5917082088
1.0;1.0;99.0;69.8;30.2;19.6;30.04;4.828;16.0368276294
1.0;1.0;999.0;66.6;33.4;22.6;30.01;4.806;15.9892794352
1.0;9.0;0.05;77.2;22.8;21.2;30.15;3.688;12.2857390566
1.0;9.0;0.3;78.0;22.0;19.4;30.07;3.024;10.0568602364
1.0;9.0;0.6;74.8;25.2;29.0;29.66;3.414;11.528361055
1.0;9.0;0.9;20.2;79.8;16.0;29.97;12.576;42.0477003749
1.0;9.0;1.0;2.6;97.4;12.0;30.12;17.756;58.899715628
1.0;9.0;9.0;78.4;21.6;27.0;29.61;2.85;9.59341714907
1.0;9.0;99.0;75.2;24.8;22.6;29.47;3.262;11.0806292652
1.0;9.0;999.0;74.8;25.2;23.0;29.89;3.176;10.5842083667
1.0;99.0;0.05;78.4;21.6;34.0;30.36;3.546;11.6809759891
1.0;99.0;0.3;77.4;22.6;29.0;29.98;3.308;11.0370074937
1.0;99.0;0.6;71.8;28.2;26.0;29.96;4.14;13.7655893819
1.0;99.0;0.9;26.2;73.8;19.8;29.66;11.49;38.6886181275
1.0;99.0;1.0;4.2;95.8;8.8;29.71;17.13;57.6532530217
1.0;99.0;9.0;76.0;24.0;31.8;30.18;3.612;11.9599230099
1.0;99.0;99.0;72.2;27.8;32.2;29.86;3.662;12.2773650832
1.0;99.0;999.0;77.0;23.0;23.6;29.57;3.164;10.701896752
1.0;999.0;0.05;76.2;23.8;24.0;29.9;3.218;10.7808690488
1.0;999.0;0.3;74.8;25.2;26.0;29.79;3.342;11.2126123382
1.0;999.0;0.6;67.0;33.0;23.8;30.06;4.278;14.1741547305
1.0;999.0;0.9;26.8;73.2;16.8;30.66;11.19;36.5577911702
1.0;999.0;1.0;3.2;96.8;13.2;30.0;16.75;55.7008077739
1.0;999.0;9.0;70.0;30.0;28.0;30.03;4.04;13.4673301806
1.0;999.0;99.0;73.6;26.4;30.0;29.95;3.904;13.0345416534
1.0;999.0;999.0;70.4;29.6;26.8;29.53;3.746;12.6637688744
9.0;0.05;0.05;78.2;21.8;36.0;29.8;3.32;11.0799015184
9.0;0.05;0.3;53.4;46.6;18.0;29.09;5.892;20.2995838324
9.0;0.05;0.6;25.6;74.4;17.0;29.58;10.634;35.9447611635
9.0;0.05;0.9;5.6;94.4;10.4;29.74;15.742;52.9489781448
9.0;0.05;1.0;1.6;98.4;14.0;30.05;16.716;55.6421124659
9.0;0.05;9.0;36.4;63.6;20.6;29.49;8.63;29.1919950354
9.0;0.05;99.0;31.2;68.8;24.4;30.32;9.722;32.0428874885
9.0;0.05;999.0;32.6;67.4;27.6;29.68;9.16;30.8015568967
9.0;0.3;0.05;78.2;21.8;17.8;29.38;3.05;10.3661622178
9.0;0.3;0.3;54.8;45.2;22.4;30.32;6.106;20.1488091429
9.0;0.3;0.6;29.2;70.8;20.8;29.61;10.232;34.4824085674
9.0;0.3;0.9;6.6;93.4;15.8;29.44;14.38;48.7575750992
9.0;0.3;1.0;4.0;96.0;14.4;30.03;17.312;57.589073902
9.0;0.3;9.0;37.8;62.2;27.8;29.7;8.394;28.2749282966
9.0;0.3;99.0;38.4;61.6;21.2;29.11;8.368;28.7241928636
9.0;0.3;999.0;39.0;61.0;22.2;29.58;8.916;30.2152710739
9.0;0.6;0.05;79.6;20.4;26.0;29.44;2.894;9.85940495465
9.0;0.6;0.3;59.4;40.6;23.0;30.37;5.854;19.2681847391
9.0;0.6;0.6;31.4;68.6;19.4;29.56;9.504;32.1564653184
9.0;0.6;0.9;16.8;83.2;12.6;29.86;13.472;45.0751200151
9.0;0.6;1.0;5.2;94.8;15.2;29.66;16.558;55.9001033546
9.0;0.6;9.0;42.6;57.4;11.2;29.91;7.704;25.7491894566
9.0;0.6;99.0;40.0;60.0;26.4;30.3;8.208;27.0874139309
9.0;0.6;999.0;43.0;57.0;14.2;29.17;7.322;25.1223924098
9.0;0.9;0.05;80.2;19.8;32.0;29.57;2.988;10.112060085
9.0;0.9;0.3;64.4;35.6;35.0;30.77;5.122;16.6668620706
9.0;0.9;0.6;40.2;59.8;32.6;29.67;8.606;28.985992915
9.0;0.9;0.9;17.8;82.2;15.8;29.99;13.296;44.342896966
9.0;0.9;1.0;4.6;95.4;16.8;29.81;16.882;56.6230279901
9.0;0.9;9.0;43.6;56.4;21.8;30.24;8.186;26.973692513
9.0;0.9;99.0;48.4;51.6;27.4;29.49;7.138;24.1509206987
9.0;0.9;999.0;50.0;50.0;20.2;29.42;6.56;22.3210305505
9.0;1.0;0.05;78.6;21.4;28.2;30.03;3.418;11.3361863993
9.0;1.0;0.3;69.8;30.2;29.0;30.27;4.006;13.2286160463
